title,company,location,category,salary_min,salary_max,contract_type,description,created,redirect_url,full_text,skills_found,skill_count
Service Desk Agent,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,,,Role: Service desk keywords: Service desk Desired Experience Range 3 - 6 years Location of Requirement Chennai Responsibility Expectations from the role  Answers and responds to inbound calls or electronic requests from end-users regarding products  Creates and documents all support calls from the user community into the service desk tracking software  Applies skills to resolve all technical trouble tickets at the service desk before referring to technical support  Analyses and resolves all…,2026-09-02T16:42:44Z,https://www.adzuna.in/land/ad/5867036123?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=0F849AFB59F6BE9EA361B9D9CE14524E1BB5570A,service desk agent role: service desk keywords: service desk desired experience range 3 - 6 years location of requirement chennai responsibility expectations from the role  answers and responds to inbound calls or electronic requests from end-users regarding products  creates and documents all support calls from the user community into the service desk tracking software  applies skills to resolve all technical trouble tickets at the service desk before referring to technical support  analyses and resolves all…,[],0
Interior Designer,DSPACE INTERIORS,"Coimbatore, Tamil Nadu",Creative & Design Jobs,,,,"Company Description Interior Design Associates, Inc. in Nashville, TN, brings visions of beautiful, functional design to life. With an award-winning team, we provide a comprehensive and thoughtful process to deliver exceptional interior design. Our collaborative approach transforms conceptual design into a final product that reflects both the location's character and our client's needs. Role Description This is a full-time on-site Interior Designer role located in Coimbatore at Interior Design …",2026-08-27T15:59:21Z,https://www.adzuna.in/land/ad/5858113382?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=7A7A80E4E503F9BDE54E1C97A7B7583B894C366F,"interior designer company description interior design associates, inc. in nashville, tn, brings visions of beautiful, functional design to life. with an award-winning team, we provide a comprehensive and thoughtful process to deliver exceptional interior design. our collaborative approach transforms conceptual design into a final product that reflects both the location's character and our client's needs. role description this is a full-time on-site interior designer role located in coimbatore at interior design …",[],0
Azure Databricks,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,,,"Greetings from Tata Consultancy Services TCS is Hiring for the role of Azure Databricks Years of experience : 6 to 10 yrs Location : Chennai Required Skill Set: Azure Data Factory, Azure Databricks, Pyspark, Interview Date : 3rd Sep 2026 Interview Mode : Online",2026-09-03T22:25:52Z,https://www.adzuna.in/land/ad/5869425809?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=7C61682E3424FFB757FDB74F2096E8FB0F4B496D,"azure databricks greetings from tata consultancy services tcs is hiring for the role of azure databricks years of experience : 6 to 10 yrs location : chennai required skill set: azure data factory, azure databricks, pyspark, interview date : 3rd sep 2026 interview mode : online",[],0
Technical Support Engineer,Movate,"Chennai, Tamil Nadu",IT Jobs,,,," Immediate Hiring | Technical Support Engineer | International Voice Process | Chennai | Up to ₹5.5 LPA Movate Technologies (Formerly CSS Corp) is hiring Technical Support Engineers for our International Voice Process. If you're passionate about troubleshooting, customer service, and technical support, this is the right opportunity for you! (Easy Virtual Interviews Spot Selection)  Job Location Ground Floor / 6th Floor, Ambit IT Park, No. 32A & B, Ambit Road, Ambattur Industrial Estate, Chennai…",2026-09-11T17:16:50Z,https://www.adzuna.in/land/ad/5879669795?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=AC525D807ACF91098787D90382BDD4BD4135441B,"technical support engineer  immediate hiring | technical support engineer | international voice process | chennai | up to ₹5.5 lpa movate technologies (formerly css corp) is hiring technical support engineers for our international voice process. if you're passionate about troubleshooting, customer service, and technical support, this is the right opportunity for you! (easy virtual interviews spot selection)  job location ground floor / 6th floor, ambit it park, no. 32a & b, ambit road, ambattur industrial estate, chennai…","['Customer Service', 'Voice Process']",2
IT Solutions Sales Executive,LOGZ,"Chennai, Tamil Nadu",Sales Jobs,,,," We’re Hiring: IT Solutions Sales Executive – Chennai, India  Location: Chennai, India – On-site  Experience: Minimum 3 years We are looking for a confident and dynamic IT Solutions Sales Executive with proven experience in selling technology products and IT solutions. The ideal candidate should have strong sales and communication skills, understand how to present technology solutions to clients, and be comfortable appearing in social media videos and promotional content representing the compan…",2026-09-11T17:15:39Z,https://www.adzuna.in/land/ad/5879667223?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=AF3BC57EB4A9FCD5F3B9AA4D5C4C7995712D409B,"it solutions sales executive  we’re hiring: it solutions sales executive – chennai, india  location: chennai, india – on-site  experience: minimum 3 years we are looking for a confident and dynamic it solutions sales executive with proven experience in selling technology products and it solutions. the ideal candidate should have strong sales and communication skills, understand how to present technology solutions to clients, and be comfortable appearing in social media videos and promotional content representing the compan…","['Sales', 'Communication Skills']",2
Oracle Database Administration,Tata Consultancy Services,"Chennai, Tamil Nadu",Admin Jobs,,,,"TCS has been a great pioneer in feeding the fire of Young Techies like you. We are a global leader in the technology arena and there's nothing that can stop us from growing together. TCS is Hiring for Oracle Database Administration Experience Range : 7 Yrs Job Location : Chennai / Kochi Interview Mode: Virtual Mode on 26th Aug'26 Must-Have 7 to 10  Years of experience using DB2LUW database administration. Strong knowledge in DB2LUW database administration with access management, performance tun…",2026-09-01T16:20:15Z,https://www.adzuna.in/land/ad/5864423865?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=7F38179352BF06C285FFD3421C8C1CC9362D746C,"oracle database administration tcs has been a great pioneer in feeding the fire of young techies like you. we are a global leader in the technology arena and there's nothing that can stop us from growing together. tcs is hiring for oracle database administration experience range : 7 yrs job location : chennai / kochi interview mode: virtual mode on 26th aug'26 must-have 7 to 10  years of experience using db2luw database administration. strong knowledge in db2luw database administration with access management, performance tun…",[],0
Finacle Automation Engineer,Synechron,"Chennai, Tamil Nadu",IT Jobs,,,,"About the Company We are looking for a skilled Finacle Test Engineer to join our banking technology team. The ideal candidate will bring strong hands-on expertise in Finacle testing, with a focus on delivering high-quality, automation-driven test coverage across core banking modules . About the Ro le We are looking for a skilled Finacle Test Engineer to join our banking technology team. The ideal candidate will bring strong hands-on expertise in Finacle testing, with a focus on delivering high-…",2026-09-03T22:24:51Z,https://www.adzuna.in/land/ad/5869423431?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=3041E8C6693EB64A8E580F145FB57D7ECE471EBD,"finacle automation engineer about the company we are looking for a skilled finacle test engineer to join our banking technology team. the ideal candidate will bring strong hands-on expertise in finacle testing, with a focus on delivering high-quality, automation-driven test coverage across core banking modules . about the ro le we are looking for a skilled finacle test engineer to join our banking technology team. the ideal candidate will bring strong hands-on expertise in finacle testing, with a focus on delivering high-…",[],0
Network Engineer,HTC Global Services,"Chennai, Tamil Nadu",IT Jobs,,,,"Role Summary: Front-line Tier 2 engineer providing pre-migration consultation, readiness validation, and network/ISP troubleshooting for agent offices, with full case ownership in ServiceNow. Engineers in this role also own SOP/knowledge-article development and Help Desk enablement work that underpins the shift-left roadmap, and serve as backup escalation support for the ACI Support Lead. Key Responsibilities: conduct pre-migration consultations and educate agents on the ACI migration process a…",2026-09-01T16:21:24Z,https://www.adzuna.in/land/ad/5864429034?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=D7891BB58AC14AB83F189A645641104015C351C8,"network engineer role summary: front-line tier 2 engineer providing pre-migration consultation, readiness validation, and network/isp troubleshooting for agent offices, with full case ownership in servicenow. engineers in this role also own sop/knowledge-article development and help desk enablement work that underpins the shift-left roadmap, and serve as backup escalation support for the aci support lead. key responsibilities: conduct pre-migration consultations and educate agents on the aci migration process a…",[],0
Tax Reviewer - 1040 & Business,GKM Global Services Pvt Ltd,"Coimbatore, Tamil Nadu",Accounting & Finance Jobs,,,,"The US Tax Reviewer will be responsible for reviewing, analyzing, and ensuring the accuracy of US tax returns prepared by associates. The role involves applying in-depth knowledge of US federal and state tax laws, ensuring compliance with IRS regulations, and providing feedback to preparers to maintain high-quality deliverables. This position requires strong technical expertise, attention to detail, and the ability to guide junior team members. Key Responsibilities: Review US Individual, Partne…",2026-09-07T18:38:31Z,https://www.adzuna.in/land/ad/5874134785?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=723804974148C15F65BB76A0705647F13A88E1C4,"tax reviewer - 1040 & business the us tax reviewer will be responsible for reviewing, analyzing, and ensuring the accuracy of us tax returns prepared by associates. the role involves applying in-depth knowledge of us federal and state tax laws, ensuring compliance with irs regulations, and providing feedback to preparers to maintain high-quality deliverables. this position requires strong technical expertise, attention to detail, and the ability to guide junior team members. key responsibilities: review us individual, partne…",['Taxation'],1
Project Management Officer,Canvendor,"Chennai, Tamil Nadu",IT Jobs,,,,Urgent_Opening_for_Canvendor Hirin g: Project Management Officer (5 Years Experience) | Chennai | Immediate to 15 Days Job Title : Project Management Officer Years of Experience: 5 Years Location : Chennai Work Mode : WFO Job Description – PMO (Insurance Domain) Position: Project Management Office (PMO) Analyst / Manager Role Overview We are looking for an experienced PMO professional with strong Insurance domain experience to support and govern strategic business and technology initiatives. Th…,2026-09-05T18:30:28Z,https://www.adzuna.in/land/ad/5871991974?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=98525311715A980224483CECE553BA504A23E2D7,project management officer urgent_opening_for_canvendor hirin g: project management officer (5 years experience) | chennai | immediate to 15 days job title : project management officer years of experience: 5 years location : chennai work mode : wfo job description – pmo (insurance domain) position: project management office (pmo) analyst / manager role overview we are looking for an experienced pmo professional with strong insurance domain experience to support and govern strategic business and technology initiatives. th…,['Project Management'],1
Business Development Manager,KEPL EPC INFRA,"Chennai, Tamil Nadu",Sales Jobs,,,,"Major Roles & Responsibilities 1. Business Development & Lead Generation Identify and develop new business opportunities in MEP, EPC, Electrical, Mechanical, Plumbing, HVAC and related infrastructure works . Identify prospective clients, consultants, architects, contractors, developers and industrial customers. Develop and maintain a strong pipeline of prospective projects. Generate enquiries through direct meetings, references, networking, market research and industry contacts. Regularly monit…",2026-08-29T16:08:17Z,https://www.adzuna.in/land/ad/5860981913?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=6702DE21EC0B2D7AD80433794796DB14DD980F41,"business development manager major roles & responsibilities 1. business development & lead generation identify and develop new business opportunities in mep, epc, electrical, mechanical, plumbing, hvac and related infrastructure works . identify prospective clients, consultants, architects, contractors, developers and industrial customers. develop and maintain a strong pipeline of prospective projects. generate enquiries through direct meetings, references, networking, market research and industry contacts. regularly monit…","['Lead Generation', 'Business Development', 'Market Research']",3
Senior Technical Lead - Cybersecurity,HCLTech,"Chennai, Tamil Nadu",IT Jobs,,,,"Core Responsibilities Customize Auth0 Universal Login using ACUL Develop Auth0 Actions Implement and support OIDC and SAML authentication flow Implement and Support Social Login integrations Enable secure and reusable authentication patterns across multiple applications Support promotion of Auth0 configurations across environments (Dev / QA / Prod) Required Technical Skills Auth0 Hands-on experience with Auth0 Strong knowledge of OAuth 2.0, OpenID Connect (OIDC), and SAML 2.0 Experience with SS…",2026-09-01T16:21:15Z,https://www.adzuna.in/land/ad/5864428375?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=90EB89FFDDAAB02D43FA35035CD4BFB10EEE1D51,"senior technical lead - cybersecurity core responsibilities customize auth0 universal login using acul develop auth0 actions implement and support oidc and saml authentication flow implement and support social login integrations enable secure and reusable authentication patterns across multiple applications support promotion of auth0 configurations across environments (dev / qa / prod) required technical skills auth0 hands-on experience with auth0 strong knowledge of oauth 2.0, openid connect (oidc), and saml 2.0 experience with ss…",[],0
Senior Interior Designer,Design Cafe,"Chennai, Tamil Nadu",Creative & Design Jobs,,,,"Design Cafe is Hiring for Senior Interior Designer for Chennai - OMR location Interested: Drop in your profile at - rajshree.dayal@designcafe.com Our maximum budget for the role is 5 to 7 LPA Address : Chandrasekaran Avenue, EDIFICE, Plot No.154, III & IV OMR), Okkiam, Gandh, Rajiv Gandhi Salai, Thoraipakkam, Tamil Nadu 600097 Key Responsibilities: Meet clients to understand their requirements, preferences, and budgets Create design concepts, floor plans, sketches, and presentations Develop moo…",2026-09-04T16:57:51Z,https://www.adzuna.in/land/ad/5870527875?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=A857B64FEFE7B05E10E19150B2F14C420DBF4AE6,"senior interior designer design cafe is hiring for senior interior designer for chennai - omr location interested: drop in your profile at - rajshree.dayal@designcafe.com our maximum budget for the role is 5 to 7 lpa address : chandrasekaran avenue, edifice, plot no.154, iii & iv omr), okkiam, gandh, rajiv gandhi salai, thoraipakkam, tamil nadu 600097 key responsibilities: meet clients to understand their requirements, preferences, and budgets create design concepts, floor plans, sketches, and presentations develop moo…",[],0
Senior Medical Coder – ICD-10-CM,Petals Automation,"Madurai North, Madurai",Healthcare & Nursing Jobs,,,," We're Hiring: Medical Coders (US Healthcare – ICD-10-CM) | Madurai Petals Automation is expanding our US Healthcare Medical Coding / RCM team and looking for talented coders to join us — both experienced professionals and freshers ready to build a career in this field. 1️⃣ Senior Medical Coder – ICD-10-CM  Madurai (India shift, with US-hours flexibility)  Experience: 3–5 years What you'll do: Review US clinical documentation and assign accurate ICD-10-CM codes Validate diagnosis coding, sequen…",2026-08-21T23:26:00Z,https://www.adzuna.in/land/ad/5851403834?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=39D86B3AEB6CF19EE6C603C00A3408A4C90CAC44,"senior medical coder – icd-10-cm  we're hiring: medical coders (us healthcare – icd-10-cm) | madurai petals automation is expanding our us healthcare medical coding / rcm team and looking for talented coders to join us — both experienced professionals and freshers ready to build a career in this field. 1️⃣ senior medical coder – icd-10-cm  madurai (india shift, with us-hours flexibility)  experience: 3–5 years what you'll do: review us clinical documentation and assign accurate icd-10-cm codes validate diagnosis coding, sequen…",[],0
Senior Security Specialist,Lennox India Technology Centre,"Chennai, Tamil Nadu",IT Jobs,,,,"We are seeking a highly skilled Senior Security Specialist (IC3) with 6-9 years of experience in Application Security & Penetration Testing (VAPT), and security testing methodologies. The ideal candidate should possess strong expertise in DAST, API Security Testing, Mobile Application Security Testing (MAST) , and hands-on exposure to AI-driven security testing and AI security risks . This role will work closely with development, DevOps, architecture, and product teams to identify, assess, and …",2026-09-02T16:43:23Z,https://www.adzuna.in/land/ad/5867037299?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=B4C105A968AAA2DD8137C2C6FA35DD6A0A661161,"senior security specialist we are seeking a highly skilled senior security specialist (ic3) with 6-9 years of experience in application security & penetration testing (vapt), and security testing methodologies. the ideal candidate should possess strong expertise in dast, api security testing, mobile application security testing (mast) , and hands-on exposure to ai-driven security testing and ai security risks . this role will work closely with development, devops, architecture, and product teams to identify, assess, and …",[],0
Visualizer,nologo communications,"Chennai, Tamil Nadu","PR, Advertising & Marketing Jobs",,,,"We’re Hiring: Visualizer  Experience: 2–4 years Location: Chennai Type: Full-time Think in visuals? We’d love to meet you. We’re looking for a Visualizer who loves ideas as much as visuals. Someone who can take a random thought from a Copywriter, a half-baked idea from a Creative Director, or a scribble on a piece of paper—and turn it into something people can actually see and get excited about. If you enjoy brainstorming, sketching, playing around with visual references, creating mood boards, …",2026-09-04T22:27:42Z,https://www.adzuna.in/land/ad/5870857155?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=7462077A00D8746E5F55631204C9E3DF63304230,"visualizer we’re hiring: visualizer  experience: 2–4 years location: chennai type: full-time think in visuals? we’d love to meet you. we’re looking for a visualizer who loves ideas as much as visuals. someone who can take a random thought from a copywriter, a half-baked idea from a creative director, or a scribble on a piece of paper—and turn it into something people can actually see and get excited about. if you enjoy brainstorming, sketching, playing around with visual references, creating mood boards, …",[],0
SAP Basis Consultant,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,,,Greetings from TCS Recruitment Team! *Face to Face* For all those SAP Basis Consultant we are coming bigger with the plan of Walk In Drive on 5th Sep2026 (Saturday) in Chennai It is a Face to Face interview planned to attract great Talents in SAP Basis Consultant. We believe that your skills and expertise are a better match for the skills we are looking for. Skill: SAP Basis Consultant (Face to Face) Years of experience: 4 to 12 Years Location : Chennai Date: 5th Sep2026 (Saturday) Drive Time: …,2026-09-02T16:41:40Z,https://www.adzuna.in/land/ad/5867035873?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=D36273EA6E9ABB4D474D4D1F88E7CBE4A9B218F6,sap basis consultant greetings from tcs recruitment team! *face to face* for all those sap basis consultant we are coming bigger with the plan of walk in drive on 5th sep2026 (saturday) in chennai it is a face to face interview planned to attract great talents in sap basis consultant. we believe that your skills and expertise are a better match for the skills we are looking for. skill: sap basis consultant (face to face) years of experience: 4 to 12 years location : chennai date: 5th sep2026 (saturday) drive time: …,"['SAP', 'Recruiting']",2
