title,company,location,category,contract_type,created,skills_found_clean,skill_count,description_short,redirect_url
Finacle Automation Engineer,Synechron,"Chennai, Tamil Nadu",IT Jobs,,2026-09-03T22:24:51Z,None Matched,0,"About the Company We are looking for a skilled Finacle Test Engineer to join our banking technology team. The ideal candidate will bring strong hands-on expertise in Finacle testing, with a focus on delivering high-quality, automation-driven test coverage across core banking modules . About the Ro l...",https://www.adzuna.in/land/ad/5869423431?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=3041E8C6693EB64A8E580F145FB57D7ECE471EBD
Network Engineer,HTC Global Services,"Chennai, Tamil Nadu",IT Jobs,,2026-09-01T16:21:24Z,None Matched,0,"Role Summary: Front-line Tier 2 engineer providing pre-migration consultation, readiness validation, and network/ISP troubleshooting for agent offices, with full case ownership in ServiceNow. Engineers in this role also own SOP/knowledge-article development and Help Desk enablement work that underpi...",https://www.adzuna.in/land/ad/5864429034?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=D7891BB58AC14AB83F189A645641104015C351C8
Tax Reviewer - 1040 & Business,GKM Global Services Pvt Ltd,"Coimbatore, Tamil Nadu",Accounting & Finance Jobs,,2026-09-07T18:38:31Z,Taxation,1,"The US Tax Reviewer will be responsible for reviewing, analyzing, and ensuring the accuracy of US tax returns prepared by associates. The role involves applying in-depth knowledge of US federal and state tax laws, ensuring compliance with IRS regulations, and providing feedback to preparers to maint...",https://www.adzuna.in/land/ad/5874134785?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=723804974148C15F65BB76A0705647F13A88E1C4
Project Management Officer,Canvendor,"Chennai, Tamil Nadu",IT Jobs,,2026-09-05T18:30:28Z,Project Management,1,Urgent_Opening_for_Canvendor Hirin g: Project Management Officer (5 Years Experience) | Chennai | Immediate to 15 Days Job Title : Project Management Officer Years of Experience: 5 Years Location : Chennai Work Mode : WFO Job Description – PMO (Insurance Domain) Position: Project Management Office (...,https://www.adzuna.in/land/ad/5871991974?se=RoeZhBOu8RGIYJ7STQTgoQ&utm_medium=api&utm_source=48e85034&v=98525311715A980224483CECE553BA504A23E2D7
Business Development Manager,KEPL EPC INFRA,"Chennai, Tamil Nadu",Sales Jobs,,2026-08-29T16:08:17Z,"Lead Generation, Business Development, Market Research",3,"Major Roles & Responsibilities 1. Business Development & Lead Generation Identify and develop new business opportunities in MEP, EPC, Electrical, Mechanical, Plumbing, HVAC and related infrastructure works . Identify prospective clients, consultants, architects, contractors, developers and industria...",https://www.adzuna.in/land/ad/5860981913?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=6702DE21EC0B2D7AD80433794796DB14DD980F41
Senior Technical Lead - Cybersecurity,HCLTech,"Chennai, Tamil Nadu",IT Jobs,,2026-09-01T16:21:15Z,None Matched,0,Core Responsibilities Customize Auth0 Universal Login using ACUL Develop Auth0 Actions Implement and support OIDC and SAML authentication flow Implement and Support Social Login integrations Enable secure and reusable authentication patterns across multiple applications Support promotion of Auth0 co...,https://www.adzuna.in/land/ad/5864428375?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=90EB89FFDDAAB02D43FA35035CD4BFB10EEE1D51
Senior Interior Designer,Design Cafe,"Chennai, Tamil Nadu",Creative & Design Jobs,,2026-09-04T16:57:51Z,None Matched,0,"Design Cafe is Hiring for Senior Interior Designer for Chennai - OMR location Interested: Drop in your profile at - rajshree.dayal@designcafe.com Our maximum budget for the role is 5 to 7 LPA Address : Chandrasekaran Avenue, EDIFICE, Plot No.154, III & IV OMR), Okkiam, Gandh, Rajiv Gandhi Salai, Tho...",https://www.adzuna.in/land/ad/5870527875?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=A857B64FEFE7B05E10E19150B2F14C420DBF4AE6
Senior Medical Coder – ICD-10-CM,Petals Automation,"Madurai North, Madurai",Healthcare & Nursing Jobs,,2026-08-21T23:26:00Z,None Matched,0, We're Hiring: Medical Coders (US Healthcare – ICD-10-CM) | Madurai Petals Automation is expanding our US Healthcare Medical Coding / RCM team and looking for talented coders to join us — both experienced professionals and freshers ready to build a career in this field. 1️⃣ Senior Medical Coder – IC...,https://www.adzuna.in/land/ad/5851403834?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=39D86B3AEB6CF19EE6C603C00A3408A4C90CAC44
Senior Security Specialist,Lennox India Technology Centre,"Chennai, Tamil Nadu",IT Jobs,,2026-09-02T16:43:23Z,None Matched,0,"We are seeking a highly skilled Senior Security Specialist (IC3) with 6-9 years of experience in Application Security & Penetration Testing (VAPT), and security testing methodologies. The ideal candidate should possess strong expertise in DAST, API Security Testing, Mobile Application Security Testi...",https://www.adzuna.in/land/ad/5867037299?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=B4C105A968AAA2DD8137C2C6FA35DD6A0A661161
Visualizer,nologo communications,"Chennai, Tamil Nadu","PR, Advertising & Marketing Jobs",,2026-09-04T22:27:42Z,None Matched,0,"We’re Hiring: Visualizer  Experience: 2–4 years Location: Chennai Type: Full-time Think in visuals? We’d love to meet you. We’re looking for a Visualizer who loves ideas as much as visuals. Someone who can take a random thought from a Copywriter, a half-baked idea from a Creative Director, or a scri...",https://www.adzuna.in/land/ad/5870857155?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=7462077A00D8746E5F55631204C9E3DF63304230
SAP Basis Consultant,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,2026-09-02T16:41:40Z,"SAP, Recruiting",2,Greetings from TCS Recruitment Team! *Face to Face* For all those SAP Basis Consultant we are coming bigger with the plan of Walk In Drive on 5th Sep2026 (Saturday) in Chennai It is a Face to Face interview planned to attract great Talents in SAP Basis Consultant. We believe that your skills and exp...,https://www.adzuna.in/land/ad/5867035873?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=D36273EA6E9ABB4D474D4D1F88E7CBE4A9B218F6
Senior Interior Designer,Livspace,"Coimbatore, Tamil Nadu",Creative & Design Jobs,,2026-09-03T16:50:33Z,Sales,1,"As an Senior Interior Designer, you should have excellent creative thinking skills and be able to create designs based on conversations with a client. You should be confident communicating regularly with clients in order to assess their needs and be able to adjust a given approach based on feedback....",https://www.adzuna.in/land/ad/5868794393?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=B706009312A963E7F709AABB9BF4803205F43A19
Database Administrator,Hyring®,"Tamil Nadu, India",IT Jobs,,2026-09-11T17:14:23Z,Onboarding,1,"JOB DESCRIPTION Database Administrator — Trading Portals Owning the data tier behind One Portal and the client, IB and admin portals already in production. Job title:- Database Administrator (Senior / Lead) Department:- Technology:- Portals & Platform Location / working model:- Remote Experience req...",https://www.adzuna.in/land/ad/5879665663?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=3B813517249D3A71ECC4EED6898A5CF24C9B13E0
voice Process,TP,"Chennai, Tamil Nadu",HR & Recruitment Jobs,,2026-08-15T00:27:02Z,"Voice Process, Communication Skills",2,"Copilot said: Here's a LinkedIn-ready job post:  Hiring for Hindi / Kannada / Bengali Voice Process  We are looking for enthusiastic candidates to join our Voice Process Team . ✅ Languages Required: Hindi Kannada Bengali  Job Location: Teleperformance, 4th Floor, Tidel Park, Pattabiram, Chennai  Wor...",https://www.adzuna.in/land/ad/5842123683?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=F9D91AB3E8818BE9CDE283A9E5C6756BB4083DEB
"VP, Head of Testing",Intellect Design Arena Ltd,"Chennai, Tamil Nadu",IT Jobs,,2026-08-26T23:57:29Z,Leadership,1,"Role Overview: We are seeking an experienced Offshore Delivery Test Head to own the end-to-end quality engineering and testing function for a large multi-geography key client account This is a critical leadership role responsible for developing a scalable, standardized testing organization that safe...",https://www.adzuna.in/land/ad/5857213123?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=B2B11624C62CAB35037C71618B855AD1FAA65115
TCS is Hiring for Vmware cloud,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,2026-09-01T16:21:02Z,None Matched,0,"Participate in project teams designing and deploy VMware Cloud Foundation (VCF) solutions, including configuring and integrating SDDC Manager, vSphere, vCenter, vSAN, NSX, and Aria Suite (LCM, Operations, Network, Logs). Support the design of complex VCF-based architecture and assist in creating tec...",https://www.adzuna.in/land/ad/5864427486?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=1397B910DE6D45B0EE5E0DBF785389B58C02E34C
Technical Architect with Python and Pyspark Experience - Chennai (12-30 Yrs) Hybrid,Luxoft India,"Chennai, Tamil Nadu",IT Jobs,,2026-09-01T16:21:12Z,Python,1,"Dear Applicants, Pl note we are looking for Technical Architect with Python , Pyspark along with Cloud experience for Chennai location who are fine to work in hybrid mode and can join immediately or within 30 days availability . Experience - 12-30 yrs Location : Chennai Work Mode : Hybrid (3 days in...",https://www.adzuna.in/land/ad/5864427838?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=1B9680D66E5629644457F309EF9FDBD60084376D
Senior Data & Market Research Analyst,Proeze,"Chennai, Tamil Nadu",Sales Jobs,,2026-09-01T16:21:17Z,"Business Intelligence, Sales, Lead Generation, Market Research",4,"About the Role We are looking for a highly analytical and research-driven Senior Data & Market Research Analyst to support our sales and marketing teams through market research, lead generation, and business intelligence. The ideal candidate should be capable of independently researching industries,...",https://www.adzuna.in/land/ad/5864428505?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=9A5223101BE54EF247EFF01A0937357D69100CF5
Operational Administrator,Uniserve,"Chennai, Tamil Nadu",Logistics & Warehouse Jobs,,2026-09-06T18:33:43Z,None Matched,0,"The Vacancy We are looking for a UniEurope Operations Administrator to join our growing operations team based in Chennai . This role plays a key part in supporting our European road freight and logistics operations, working closely with UK-based operations and control tower teams to ensure the accur...",https://www.adzuna.in/land/ad/5873073743?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=EF293583C57C770510CEA17AC82AEB2D4D8B06FB
Walkin Drive-5 Sept-Chennai-SnowflakeDBT,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,2026-09-03T04:28:16Z,SQL,1,"Inviting Application for Walkin Interview Drive-5 Sept-Chennai Role: SnowflakeDBT Exp: 5-12 years Registration Time: 9:30-12:30pm Role & responsibilities: Must-Have : 1. Expertise in Snowflake - ELT using Snowflake SQL, implementing complex stored Procedures and build data pipelines using DBT(Data B...",https://www.adzuna.in/land/ad/5867716716?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=63DAD4CDEAE052491C2C63AB11FCC34870F7D84C
Mega Walkin Drive at HCL Tech for Voice Process - Fresher - Walk in interview on 24th Aug 2026 - 11 AM to 2 PM,HCLTech,"Chennai, Tamil Nadu",IT Jobs,,2026-08-25T15:46:14Z,Voice Process,1,Mega Walkin Drive at HCL Tech for Voice Process - Fresher - Walk in interview on 24th Aug 2026 - 11 AM to 2 PM Request all the candidate to fill the below form: Fresher - Process Associate - Voice Process (Registration Link) – Fill out form Designation: Process Associate Detailed Responsibilities: R...,https://www.adzuna.in/land/ad/5855234025?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=ADB54D19E2568AEF6B31D7B08068CD8A8F639DF2
GST Associate,GKM Global Services Pvt Ltd,"Coimbatore, Tamil Nadu",Accounting & Finance Jobs,,2026-09-07T18:39:35Z,"Accounting, Bookkeeping, GST, Taxation, Payroll, Auditing",6,"Company Description GKM Global Services Pvt Ltd (GKM Inc) is a growing BPO company specializing in Finance & Accounting, including US accounting, taxation, and audit services. Founded by seasoned professionals in bookkeeping, taxation, payroll, and consulting, the firm brings together Certified Publ...",https://www.adzuna.in/land/ad/5874135051?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=0792BCB4F00C3B878C6C9E0ABC89AEDF634AF33C
Team Lead,King Cardinal Products & Services Private Limited,"Coimbatore, Tamil Nadu",Engineering Jobs,,2026-07-31T15:27:07Z,None Matched,0,"At King Cardinal, we are a growing technology organization that focuses on technology and provides engineering and manufacturing services for businesses. We are expanding our product & mfg design capabilities to serve clients worldwide. Role Lead a team of senior and junior engineers for manufacturi...",https://www.adzuna.in/land/ad/5822232421?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=2FAA13E0FEA8B7CCF167CB979924CB40CE28EE84
LEAD DATA ENGINEER,Eucloid Data Solutions,"Chennai, Tamil Nadu",IT Jobs,,2026-09-01T16:23:00Z,None Matched,0,Job Description Eucloid is looking for a Lead Data Engineer to join our Data Platform team supporting various business applications. The ideal candidate will support development of data infrastructure for our clients by participating in activities which may include starting from up- stream and down-...,https://www.adzuna.in/land/ad/5864439916?se=5k2PhxOu8RGw3foOHxJxCQ&utm_medium=api&utm_source=48e85034&v=2B52CFE98AC872D40CE4AD16C7E86182B8A61F4D
Metrology Service Engineer - Chennai,Electronica Mechatronic Systems India Pvt. Ltd,"Chennai, Tamil Nadu",Engineering Jobs,,2026-09-10T00:58:42Z,None Matched,0,"Company Description Electronica Mechatronic Systems (I) Pvt. Ltd., established in 1980, specializes in manufacturing DRO systems and linear transducers such as glass and metallic scales. The company also offers a metrology product range including height gauges, vision measuring machines (VMM), and c...",https://www.adzuna.in/land/ad/5877451894?se=FvN6ihOu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=48e85034&v=9F59FBA84FF885B5C7C28F8812CC0D9249B9CC95
RAVSoft Opening for senior Ruby on Rails Developer,RAVSoft Solutions Inc.,"Chennai, Tamil Nadu",IT Jobs,,2026-09-01T16:22:59Z,None Matched,0,"About the Company RAVSoft Solutions is focused on providing innovative and high-quality software solutions to healthcare professionals. With its rich experience and expertise for 25 years, RAVSoft is one of the leading providers of Software development, Integration and Consulting services for the Me...",https://www.adzuna.in/land/ad/5864439864?se=FvN6ihOu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=48e85034&v=07D2B589C9A84E24F79CBC2C67F94E639DB53F79
Walk-in at HCLTech for OTC Collections _Chennai,HCLTech,"Chennai, Tamil Nadu",Accounting & Finance Jobs,,2026-09-10T00:54:15Z,Human Resources,1,Walkin interview at HCLTech for OTC Collections We are hiring experienced professionals for OTC – Collections(Voice) Designation : Senior Process Associate No Of Position s: 5 Experience : 1 – 4 Years (Relevant OTC – Collections Experience Mandatory) Work Location : Chennai Shift : US shift HR Conta...,https://www.adzuna.in/land/ad/5877450561?se=FvN6ihOu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=48e85034&v=85BFAB51B68621D73DFD46DF81F35CFF2A6B07FB
"HCLTech is Hiring for OTC Collection , Dispute, Cash AppsProcess with SAP Tool Experience Chennai",HCLTech,"Chennai, Tamil Nadu",Accounting & Finance Jobs,,2026-09-09T01:05:43Z,"SAP, Human Resources",2,"HCLTech is Hiring for OTC Collection , Dispute, Cash app Process with SAP Tool Experience Chennai Interview Location: HCL Tech Tower 4 Elcot Sez Chennai Interview Date: 12 Sept 2026 Interview Time: 9:30 AM 1:30 PM Work Location: Chennai (Sholinganallur) HR SPOC: Harish. K Experience Required: 2-8 Ye...",https://www.adzuna.in/land/ad/5876021822?se=FvN6ihOu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=48e85034&v=6189FFB7B80826FF2BDC248C98EE7A3219E51EB0
Program Manager Training & IEC,T&M Services Consulting Pvt Ltd,"Tamil Nadu, India",Other/General Jobs,,2026-09-01T14:22:30Z,None Matched,0,"Program Manager – Training & IEC We are looking for an experienced Program Manager – Training & IEC to lead and support training, Information, Education & Communication (IEC), and capacity-building initiatives under the TN RIGHTS Project, Government of Tamil Nadu . Key Responsibilities: Plan, coordi...",https://www.adzuna.in/land/ad/5864155532?se=FvN6ihOu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=48e85034&v=3B8213E1E5E33FD0B61F51902B6DE738522773E3
Wireless Engineer,Tata Consultancy Services,"Chennai, Tamil Nadu",IT Jobs,,2026-09-01T16:19:53Z,None Matched,0,"Role: Cisco Wireless SME Location: Chennai Experience: 7years Job Requirements 6 years of experience in enterprise wireless networking; strong expertise in Cisco wireless solutions; in-depth knowledge of RF design, controllers, access points, roaming, and wireless security. Key Responsibilities Desi...",https://www.adzuna.in/land/ad/5864422319?se=FvN6ihOu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=48e85034&v=E7E059DE490D17A9F4B3AB1B26CAD849259B9FE5
Trainee roles in Order Management,GSOT,"Chennai, Tamil Nadu",IT Jobs,,2026-08-14T16:34:55Z,None Matched,0,"We're hiring: Trainee roles in Order Management, Chennai, India Software, ecommerce, retail, supply chain and customer experience all come together in Order Management, and that's exactly where this role sits. GSOT is growing its Chennai team, and we're bringing in trainees to work on enterprise Ord...",https://www.adzuna.in/land/ad/5841755750?se=FvN6ihOu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=48e85034&v=2DFB0B7A5DC41D0834E34F77EF842080BC006998
Partnership Manager-Chennai,Keka HR,"Chennai, Tamil Nadu",Sales Jobs,,2026-08-26T22:03:13Z,"Payroll, Human Resources",2,"About Keka & the Partner Organization Keka is one of India's fastest-growing modern HR-tech companies, serving 10,000 businesses across HR, payroll, performance, hiring and finance. The Keka Partner Organization is a strategic growth lever — operating a partner ecosystem across distributors, reselle...",https://www.adzuna.in/land/ad/5857169982?se=FvN6ihOu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=48e85034&v=311B06D917771D93F16098A349D8CAF4F693D10D
Data Engineer III,RX Global,"Chennai, Tamil Nadu",IT Jobs,permanent,2026-08-27T22:16:43Z,None Matched,0,"This job is with RX Global, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About Team: RX Global aims to create unforgettable experiences for attendees and exhibitors through organizing event...",https://www.adzuna.in/land/ad/5858537538?se=FvN6ihOu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=48e85034&v=A9470BF86CE3CCC1CD33F195410A520BCA9AFF37
Informix Database Administrator,HCLTech,"Chennai, Tamil Nadu",IT Jobs,,2026-09-01T16:22:41Z,None Matched,0,"Role - Informix Database Administrator Experience - 6-15 Years. Location - PAN India - Chennai is Preferable. Notice - Immediate to 30 days joiners. Role Overview HCLTech is looking for an experienced Informix Database Administrator to support, maintain, and enhance business-critical database enviro...",https://www.adzuna.in/land/ad/5864437951?se=FvN6ihOu8RG-FLx_YfIXKQ&utm_medium=api&utm_source=48e85034&v=B3BF0546107D2CF5CA062889B13D8BB8048368AE
